ID,student_ID,course_ID,semester_ID,attendanceDate,status,remarks
dd40e1f0-0001-4000-8000-000000000001,53c0e1f0-0001-4000-8000-000000000001,c2b0e1f0-0001-4000-8000-000000000001,b7a0e1f0-0001-4000-8000-000000000001,2024-08-05,P,
dd40e1f0-0002-4000-8000-000000000002,53c0e1f0-0001-4000-8000-000000000001,c2b0e1f0-0001-4000-8000-000000000001,b7a0e1f0-0001-4000-8000-000000000001,2024-08-07,P,
dd40e1f0-0003-4000-8000-000000000003,53c0e1f0-0001-4000-8000-000000000001,c2b0e1f0-0001-4000-8000-000000000001,b7a0e1f0-0001-4000-8000-000000000001,2024-08-09,A,Medical leave
dd40e1f0-0004-4000-8000-000000000004,53c0e1f0-0001-4000-8000-000000000001,c2b0e1f0-0001-4000-8000-000000000001,b7a0e1f0-0001-4000-8000-000000000001,2024-08-12,P,
dd40e1f0-0005-4000-8000-000000000005,53c0e1f0-0001-4000-8000-000000000001,c2b0e1f0-0001-4000-8000-000000000001,b7a0e1f0-0001-4000-8000-000000000001,2024-08-14,L,Arrived 15 min late
dd40e1f0-0006-4000-8000-000000000006,53c0e1f0-0002-4000-8000-000000000002,c2b0e1f0-0006-4000-8000-000000000006,b7a0e1f0-0001-4000-8000-000000000001,2024-08-05,P,
dd40e1f0-0007-4000-8000-000000000007,53c0e1f0-0002-4000-8000-000000000002,c2b0e1f0-0006-4000-8000-000000000006,b7a0e1f0-0001-4000-8000-000000000001,2024-08-07,P,
dd40e1f0-0008-4000-8000-000000000008,53c0e1f0-0002-4000-8000-000000000002,c2b0e1f0-0006-4000-8000-000000000006,b7a0e1f0-0001-4000-8000-000000000001,2024-08-09,E,Family emergency - excused
dd40e1f0-0009-4000-8000-000000000009,53c0e1f0-0003-4000-8000-000000000003,c2b0e1f0-0004-4000-8000-000000000004,b7a0e1f0-0001-4000-8000-000000000001,2024-08-05,P,
dd40e1f0-000a-4000-8000-000000000010,53c0e1f0-0003-4000-8000-000000000003,c2b0e1f0-0004-4000-8000-000000000004,b7a0e1f0-0001-4000-8000-000000000001,2024-08-07,P,
dd40e1f0-000b-4000-8000-000000000011,53c0e1f0-0003-4000-8000-000000000003,c2b0e1f0-0004-4000-8000-000000000004,b7a0e1f0-0001-4000-8000-000000000001,2024-08-09,A,No prior intimation
dd40e1f0-000c-4000-8000-000000000012,53c0e1f0-0003-4000-8000-000000000003,c2b0e1f0-0004-4000-8000-000000000004,b7a0e1f0-0001-4000-8000-000000000001,2024-08-12,P,
